run_id,seed,algorithm,validation_accuracy,testing_accuracy,validation_loss,f1_score,precision,recall,auc_score,inference_time,training_time,epochs
5,1213,Self-Supervised Learning,0.899575,0.90015,0.4362664663108291,0.8717218979988569,0.899799221420178,0.90015,0.9506052157491366,0.0006954928112637465,55.08884310722351,20
5,1213,SVM,0.881925,0.881125,0.11807500000000004,0.8364038059994591,0.8551510509206186,0.881125,0.926980713797114,0.0002627011477947235,23.50207543373108,1
5,1213,Logistic Regression,0.89235,0.8917,0.10765000000000002,0.8840026970339772,0.8800915405986177,0.8917,0.9429469966294705,1.2462735176086426e-07,9.050153493881226,1
5,1213,Naive Bayes,0.57465,0.57215,0.42535,0.643194446269013,0.856849698952988,0.57215,0.767356640511532,8.977353572845459e-07,0.07861781120300293,1
5,1213,CatBoostClassifier,0.972225,0.97255,0.027774999999999994,0.9723910887435501,0.9722772966058623,0.97255,0.9941936676457621,9.1464102268219e-06,4.434739351272583,1
5,1213,QDA,0.87185,0.868925,0.12815,0.8780160413354111,0.8924103060323799,0.868925,0.920616939082784,1.1338233947753907e-06,0.44153857231140137,1
6,1415,Self-Supervised Learning,0.9007999999999999,0.90265,0.4387714652119169,0.8823837508340004,0.893213377247296,0.90265,0.9560381581868771,0.0006157744462323037,56.111886501312256,20
6,1415,SVM,0.88225,0.88185,0.11775000000000002,0.8396745565739322,0.8590336384732996,0.88185,0.9291096007662105,0.0002590821385383606,24.60680627822876,1
6,1415,Logistic Regression,0.892275,0.89435,0.10772499999999996,0.8866253005812778,0.883055220002322,0.89435,0.9446885740741859,3.979802131652832e-08,9.347751379013062,1
6,1415,Naive Bayes,0.57455,0.57455,0.42545,0.6448089944311668,0.8568629254752481,0.57455,0.7700740565020743,8.682548999786377e-07,0.08550524711608887,1
6,1415,CatBoostClassifier,0.971925,0.971675,0.02807499999999996,0.9715844611993605,0.971507878392871,0.971675,0.9941875911016862,9.8763108253479e-06,4.282470941543579,1
6,1415,QDA,0.866275,0.8683,0.13372499999999998,0.8779716531262467,0.8938438001842053,0.8683,0.9199625233534865,1.1736869812011718e-06,0.4182088375091553,1
7,1617,Self-Supervised Learning,0.900675,0.89995,0.4304765174343328,0.8756254920494463,0.891789970599749,0.89995,0.9534815832476716,0.00064705739355391,55.390023708343506,20
7,1617,SVM,0.881325,0.88085,0.11867499999999997,0.8334726464969204,0.8614799739607494,0.88085,0.9316497261755408,0.00025720443725585937,23.83024024963379,1
7,1617,Logistic Regression,0.89525,0.891825,0.10475000000000001,0.8841224827342534,0.8802626092371223,0.891825,0.9438198319949611,2.1497607231140137e-07,8.679084777832031,1
7,1617,Naive Bayes,0.57625,0.573075,0.42374999999999996,0.6436266633637949,0.8583086126747019,0.573075,0.7711279479708533,1.6234278678894043e-06,0.0984654426574707,1
7,1617,CatBoostClassifier,0.973225,0.971725,0.026774999999999993,0.9715251638241259,0.9713926883443966,0.971725,0.9941605370760483,9.12354588508606e-06,4.398505687713623,1
7,1617,QDA,0.874325,0.8688,0.12567499999999998,0.8783681035519627,0.893987640454702,0.8688,0.9214444443878715,1.1424183845520019e-06,0.43343424797058105,1
8,1819,Self-Supervised Learning,0.896175,0.897425,0.4382274963293865,0.8803245921577134,0.8819202149344098,0.897425,0.9494087695208934,0.0007450732455891409,55.6807758808136,20
8,1819,SVM,0.8813,0.880975,0.11870000000000003,0.8291880446620701,0.8831625959323112,0.880975,0.922896876033344,0.0002544191598892212,27.589457511901855,1
8,1819,Logistic Regression,0.893975,0.894775,0.10602500000000004,0.8865806647498563,0.8829574879799127,0.894775,0.9437273583611125,1.323878765106201e-07,9.228793144226074,1
8,1819,Naive Bayes,0.5712,0.57645,0.42879999999999996,0.6470986758235957,0.8585407152534561,0.57645,0.7733752317111136,9.0789794921875e-07,0.0881202220916748,1
8,1819,CatBoostClassifier,0.974,0.97135,0.026000000000000023,0.9710999293238126,0.9709510764795599,0.97135,0.9939855477524114,9.496665000915527e-06,4.375607490539551,1
8,1819,QDA,0.870725,0.872175,0.12927500000000003,0.8812852512416468,0.8961151137297652,0.872175,0.9232416818828907,1.1670827865600586e-06,0.4544224739074707,1
9,2021,Self-Supervised Learning,0.8937999999999999,0.892,0.44027151803302156,0.9001040038184912,0.9154117999450263,0.892,0.9459054583023061,0.000724690734960471,56.91024327278137,20
9,2021,SVM,0.8805,0.88085,0.11950000000000005,0.832227313398743,0.8678871992796712,0.88085,0.9260690240967757,0.0002582254707813263,25.93446946144104,1
9,2021,Logistic Regression,0.893425,0.89325,0.10657499999999998,0.8858088018751016,0.8821251876074976,0.89325,0.9438351851401738,3.244280815124512e-08,10.076858758926392,1
9,2021,Naive Bayes,0.576325,0.57225,0.423675,0.6429333412356336,0.8554691515545226,0.57225,0.770258697422262,9.302377700805664e-07,0.08945894241333008,1
9,2021,CatBoostClassifier,0.971625,0.97245,0.02837500000000004,0.9723090640734198,0.9722037723456528,0.97245,0.9940685564999638,9.99467372894287e-06,4.469128131866455,1
9,2021,QDA,0.87085,0.869925,0.12915,0.8795656019447597,0.8955684375260585,0.869925,0.9214296652987503,1.0786235332489013e-06,0.42784881591796875,1
